Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Season,Team
2021-08-15,14:30,Eredivisie,Matchweek 1,Sun,Home,L,0,1,Vitesse,55,9000.0,Bram van Polen,4-3-3,Richard Martens,Match Report,,15,5,0,0,2021,Zwolle
2021-08-20,20:00,Eredivisie,Matchweek 2,Fri,Away,L,0,2,NEC Nijmegen,62,8500.0,Bram van Polen,4-3-3,Sander Van der Eijk,Match Report,,17,1,0,0,2021,Zwolle
2021-08-28,21:00,Eredivisie,Matchweek 3,Sat,Away,L,0,1,Willem II,56,9352.0,Bram van Polen,4-3-3,Gerard van Oostrom,Match Report,,11,4,0,0,2021,Zwolle
2021-09-11,18:45,Eredivisie,Matchweek 4,Sat,Home,L,0,2,Ajax,37,9000.0,Bram van Polen,4-3-3,Jeroen Manschot,Match Report,,9,2,0,0,2021,Zwolle
2021-09-19,12:15,Eredivisie,Matchweek 5,Sun,Away,L,0,1,Go Ahead Eag,48,6600.0,Bram van Polen,4-2-3-1,Kevin Blom,Match Report,,9,3,0,0,2021,Zwolle
2021-09-22,21:00,Eredivisie,Matchweek 6,Wed,Home,D,1,1,Sparta R'dam,58,9000.0,Bram van Polen,4-2-3-1,Martin Perez,Match Report,,16,4,0,0,2021,Zwolle
2021-09-25,21:00,Eredivisie,Matchweek 7,Sat,Away,L,1,5,Utrecht,56,19451.0,Bram van Polen,4-2-3-1,Allard Lindhout,Match Report,,8,3,0,0,2021,Zwolle
2021-10-02,20:00,Eredivisie,Matchweek 8,Sat,Home,L,0,1,Heerenveen,48,13655.0,Bram van Polen,4-1-4-1,Dennis Higler,Match Report,,16,3,0,0,2021,Zwolle
2021-10-16,21:00,Eredivisie,Matchweek 9,Sat,Away,L,1,3,PSV Eindhoven,31,30500.0,Bram van Polen,4-2-3-1,Joey Kooij,Match Report,,6,1,0,0,2021,Zwolle
2021-10-23,20:00,Eredivisie,Matchweek 10,Sat,Home,W,1,0,Heracles Almelo,51,13026.0,Bram van Polen,4-3-3,Marc Nagtegaal,Match Report,,10,2,1,1,2021,Zwolle
2021-10-30,21:00,Eredivisie,Matchweek 11,Sat,Away,L,2,3,AZ Alkmaar,43,15328.0,Bram van Polen,4-3-3,Serdar Gözübüyük,Match Report,,7,3,0,0,2021,Zwolle
2021-11-06,21:00,Eredivisie,Matchweek 12,Sat,Home,L,1,2,Cambuur,51,13098.0,Bram van Polen,4-3-3,Sander Van der Eijk,Match Report,,14,4,0,0,2021,Zwolle
2021-11-21,14:30,Eredivisie,Matchweek 13,Sun,Away,L,0,4,Feyenoord,36,,Mustafa Saymak,3-5-2,Martin van den Kerkhof,Match Report,,5,4,0,0,2021,Zwolle
2021-11-27,20:00,Eredivisie,Matchweek 14,Sat,Home,D,0,0,RKC Waalwijk,53,,Mustafa Saymak,3-4-3,Joey Kooij,Match Report,,9,1,0,1,2021,Zwolle
2021-12-03,20:00,Eredivisie,Matchweek 15,Fri,Away,D,1,1,Groningen,46,,Kostas Lamprou,3-4-1-2,Richard Martens,Match Report,,12,4,0,0,2021,Zwolle
2021-12-11,21:00,Eredivisie,Matchweek 16,Sat,Home,L,0,1,Fortuna Sittard,69,,Kostas Lamprou,3-4-1-2,Edwin van de Graaf,Match Report,,13,1,0,0,2021,Zwolle
2021-12-18,21:00,Eredivisie,Matchweek 17,Sat,Home,L,1,3,Twente,57,,Bram van Polen,3-5-2,Alex Bos,Match Report,,13,2,0,0,2021,Zwolle
2021-12-21,18:45,Eredivisie,Matchweek 18,Tue,Away,L,0,1,Vitesse,52,,Bram van Polen,3-5-2,Pol van Boekel,Match Report,,15,7,0,0,2021,Zwolle
2022-01-14,20:00,Eredivisie,Matchweek 19,Fri,Home,W,2,0,Willem II,48,,Bram van Polen,3-4-1-2,Jeroen Manschot,Match Report,,15,5,0,0,2021,Zwolle
2022-01-22,20:00,Eredivisie,Matchweek 20,Sat,Away,W,1,0,Heerenveen,47,,Bram van Polen,3-4-1-2,Martin van den Kerkhof,Match Report,,10,6,1,1,2021,Zwolle
