date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,pk,pkatt,season,team,xg,xga
2022-08-07,16:45,Eredivisie,Matchweek 1,Sun,Home,W,2.0,0.0,Go Ahead Eag,65.0,14438.0,Bruno Martins Indi,4-2-3-1,Allard Lindhout,Match Report,,19.0,8.0,0,0,2022,AZ Alkmaar,,
2022-08-14,16:45,Eredivisie,Matchweek 2,Sun,Away,W,3.0,2.0,Sparta R'dam,62.0,9631.0,Bruno Martins Indi,4-2-3-1,Jannick van der Laan,Match Report,,25.0,7.0,1,1,2022,AZ Alkmaar,,
2022-08-28,16:45,Eredivisie,Matchweek 4,Sun,Away,W,1.0,0.0,Cambuur,65.0,10000.0,Bruno Martins Indi,4-2-3-1,Rob Dieperink,Match Report,,16.0,3.0,0,0,2022,AZ Alkmaar,,
2022-09-01,20:00,Eredivisie,Matchweek 3,Thu,Home,D,1.0,1.0,NEC Nijmegen,63.0,14945.0,Jordy Clasie,4-2-3-1,Dennis Higler,Match Report,,30.0,13.0,0,0,2022,AZ Alkmaar,,
2022-09-04,14:30,Eredivisie,Matchweek 5,Sun,Away,W,3.0,0.0,Emmen,47.0,8062.0,Jordy Clasie,4-2-3-1,Martin Perez,Match Report,,15.0,7.0,0,0,2022,AZ Alkmaar,,
2022-09-11,16:45,Eredivisie,Matchweek 6,Sun,Home,D,1.0,1.0,Twente,44.0,16269.0,Jordy Clasie,4-2-3-1,Pol van Boekel,Match Report,,12.0,3.0,0,0,2022,AZ Alkmaar,,
2022-09-18,16:45,Eredivisie,Matchweek 7,Sun,Home,W,2.0,1.0,Ajax,42.0,18772.0,Bruno Martins Indi,4-3-3,Bas Nijhuis,Match Report,,13.0,8.0,0,0,2022,AZ Alkmaar,,
2022-10-01,18:45,Eredivisie,Matchweek 8,Sat,Away,W,4.0,1.0,Groningen,44.0,18890.0,Jordy Clasie,4-3-3,Jeroen Manschot,Match Report,,13.0,7.0,0,0,2022,AZ Alkmaar,,
2022-10-09,14:30,Eredivisie,Matchweek 9,Sun,Away,W,2.0,1.0,Utrecht,56.0,20873.0,Jordy Clasie,4-3-3,Serdar Gözübüyük,Match Report,,14.0,6.0,0,0,2022,AZ Alkmaar,,
2022-08-06,16:30,Eredivisie,Matchweek 1,Sat,Away,W,3.0,2.0,Fortuna Sittard,71.0,11863.0,Dušan Tadić,4-3-3,Serdar Gözübüyük,Match Report,,15.0,4.0,0,0,2022,Ajax,,
2022-08-14,14:30,Eredivisie,Matchweek 2,Sun,Home,W,6.0,1.0,Groningen,69.0,54060.0,Dušan Tadić,4-3-3,Bas Nijhuis,Match Report,,24.0,11.0,1,1,2022,Ajax,,
2022-08-21,14:30,Eredivisie,Matchweek 3,Sun,Away,W,1.0,0.0,Sparta R'dam,66.0,10606.0,Dušan Tadić,4-3-3,Jeroen Manschot,Match Report,,14.0,3.0,0,0,2022,Ajax,,
2022-08-28,12:15,Eredivisie,Matchweek 4,Sun,Away,W,2.0,0.0,Utrecht,57.0,21471.0,Dušan Tadić,4-3-3,Danny Makkelie,Match Report,,10.0,4.0,0,0,2022,Ajax,,
2022-09-03,16:30,Eredivisie,Matchweek 5,Sat,Home,W,4.0,0.0,Cambuur,75.0,53667.0,Dušan Tadić,4-3-3,Joey Kooij,Match Report,,22.0,8.0,0,0,2022,Ajax,,
2022-09-10,18:45,Eredivisie,Matchweek 6,Sat,Home,W,5.0,0.0,Heerenveen,71.0,49555.0,Dušan Tadić,4-3-3,Edwin van de Graaf,Match Report,,20.0,7.0,0,0,2022,Ajax,,
2022-09-18,16:45,Eredivisie,Matchweek 7,Sun,Away,L,1.0,2.0,AZ Alkmaar,58.0,18772.0,Dušan Tadić,4-2-3-1,Bas Nijhuis,Match Report,,15.0,7.0,0,0,2022,Ajax,,
2022-10-01,20:00,Eredivisie,Matchweek 8,Sat,Home,D,1.0,1.0,Go Ahead Eag,75.0,,Dušan Tadić,4-2-3-1,Alex Bos,Match Report,,23.0,7.0,0,0,2022,Ajax,,
2022-10-08,16:30,Eredivisie,Matchweek 9,Sat,Away,W,4.0,2.0,Volendam,72.0,6850.0,Dušan Tadić,4-3-3,Allard Lindhout,Match Report,,19.0,9.0,1,1,2022,Ajax,,
2022-08-06,20:00,Eredivisie,Matchweek 1,Sat,Home,W,4.0,1.0,Emmen,62.0,30000.0,Luuk de Jong,4-2-3-1,Martin van den Kerkhof,Match Report,,11.0,6.0,0,0,2022,PSV Eindhoven,,
2022-08-13,18:45,Eredivisie,Matchweek 2,Sat,Away,W,5.0,2.0,Go Ahead Eag,70.0,9643.0,Luuk de Jong,4-2-3-1,Danny Makkelie,Match Report,,23.0,11.0,0,0,2022,PSV Eindhoven,,
2022-08-28,14:30,Eredivisie,Matchweek 4,Sun,Away,W,6.0,1.0,Excelsior,56.0,4400.0,Cody Gakpo,4-3-3,Jeroen Manschot,Match Report,,27.0,13.0,0,0,2022,PSV Eindhoven,,
2022-08-31,18:45,Eredivisie,Matchweek 3,Wed,Home,W,7.0,1.0,Volendam,65.0,28114.0,Cody Gakpo,4-3-3,Sander van der Eijk,Match Report,,25.0,16.0,1,1,2022,PSV Eindhoven,,
2022-09-03,18:45,Eredivisie,Matchweek 5,Sat,Away,L,1.0,2.0,Twente,56.0,30000.0,Cody Gakpo,4-3-3,Danny Makkelie,Match Report,,13.0,6.0,0,0,2022,PSV Eindhoven,,
2022-09-11,14:30,Eredivisie,Matchweek 6,Sun,Home,W,1.0,0.0,RKC Waalwijk,70.0,28432.0,Cody Gakpo,4-2-3-1,Serdar Gözübüyük,Match Report,,31.0,5.0,1,1,2022,PSV Eindhoven,,
2022-09-18,14:30,Eredivisie,Matchweek 7,Sun,Home,W,4.0,3.0,Feyenoord,49.0,33110.0,Cody Gakpo,4-3-3,Allard Lindhout,Match Report,,27.0,10.0,0,0,2022,PSV Eindhoven,,
2022-10-01,16:30,Eredivisie,Matchweek 8,Sat,Away,L,0.0,3.0,Cambuur,55.0,10000.0,Cody Gakpo,4-3-3,Pol van Boekel,Match Report,,12.0,5.0,0,0,2022,PSV Eindhoven,,
2022-10-09,16:45,Eredivisie,Matchweek 9,Sun,Away,W,1.0,0.0,Heerenveen,50.0,24087.0,Cody Gakpo,4-3-3,Bas Nijhuis,Match Report,,16.0,6.0,0,0,2022,PSV Eindhoven,,
2022-08-07,14:30,Eredivisie,Matchweek 1,Sun,Away,W,5.0,2.0,Vitesse,52.0,14416.0,Gernot Trauner,4-2-3-1,Jochem Kamphuis,Match Report,,16.0,8.0,0,0,2022,Feyenoord,,
2022-08-13,21:00,Eredivisie,Matchweek 2,Sat,Home,D,0.0,0.0,Heerenveen,68.0,47500.0,Gernot Trauner,4-2-3-1,Serdar Gözübüyük,Match Report,,19.0,11.0,0,0,2022,Feyenoord,,
2022-08-21,16:45,Eredivisie,Matchweek 3,Sun,Away,W,1.0,0.0,RKC Waalwijk,60.0,6578.0,Gernot Trauner,4-2-3-1,Edwin van de Graaf,Match Report,,18.0,8.0,1,1,2022,Feyenoord,,
