"","id","Staande.lengte","Zittende.lengte","Lengte.bovenlichaam","Gewicht","Maturity.Offset","Balance.Beam.6cm","Balance.Beam.4.5cm","Balance.Beam.3cm","Balance.beam.totaal","Zijwaarts.springen.1","Zijwaarts.springen.2","Zijwaarts.springen.totaal","Zijwaarts.verplaatsen.1","Zijwaarts.verplaatsen.2","Zijwaarts.verplaatsen.totaal","Oog.hand.coordinatie.1","Oog.hand.coordinatie.2","Oog.hand.coordinatie.Totaal","X10.meter.sprint.1","X10.meter.sprint.2","X10.meter.sprint.beste","X20.meter.sprint.1","X20.meter.sprint.2","X20.meter.sprint.beste","X30.meter.sprint.1","X30.meter.sprint.2","X30.meter.sprint.beste","CoD.links.1","CoD.links.2","CoD.links.beste","CoD.rechts.1","CoD.rechts.2","CoD.rechts.beste","Vertesprong.1","Vertesprong.2","Vertesprong.beste","team_id","reeks_id","team_naam","geboortedatum"
"1",1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2000-07"
"2",1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2000-10"
"3",1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2000-10"
"4",1736,192,139.5,99.6,79.9,NA,22,16,9,47,64,68,132,20,28,48,26,32,58,1.76,1.81,1.76,3.03,3.08,3.03,4.16,4.21,4.16,8.66,8.86,8.66,8.53,8.8,8.53,1.97,1.96,1.97,9,1,"Onder 21","2001-01"
"5",1876,182.2,138.9,96.8,71.5,NA,24,16,16,56,40,50,90,30,42,72,44,45,89,1.74,1.72,1.72,2.95,2.91,2.91,4.1,4.06,4.06,7.53,7.57,7.53,7.94,7.61,7.61,2.46,2.4,2.46,9,1,"Onder 21","2001-01"
"6",353,188.2,144.9,99.9,83,NA,24,24,19,67,52,54,106,38,39,77,46,50,96,1.79,1.82,1.79,3.04,3.06,3.04,4.17,4.19,4.17,8.19,8.19,8.19,8.35,8.11,8.11,2.4,2.49,2.49,9,1,"Onder 21","2001-02"
"7",1735,187.9,137,97.1,82.1,NA,24,24,23,71,64,60,124,24,30,54,32,32,64,2.09,1.98,1.98,3.35,3.24,3.24,4.55,4.41,4.41,9.94,9.27,9.27,9.08,8.92,8.92,1.84,1.94,1.94,9,1,"Onder 21","2001-02"
"8",1874,174.4,137.6,95.5,69.4,NA,24,24,24,72,50,54,104,23,30,53,37,40,77,1.97,1.77,1.77,3.34,2.96,2.96,4.78,4.13,4.13,NA,NA,NA,NA,NA,NA,2.22,2.41,2.41,9,1,"Onder 21","2001-03"
"9",1875,186.1,140.4,98.3,93.1,NA,24,22,24,70,50,54,104,28,36,64,41,15,56,1.97,2,1.97,3.24,3.23,3.23,4.47,4.5,4.47,8.03,8.03,8.03,8.35,8.2,8.2,2.49,2.49,2.49,9,1,"Onder 21","2001-03"
"10",1997,184,135.7,94.3,70.6,NA,19,18,9,46,48,54,102,26,30,56,20,30,50,1.75,1.96,1.75,3,3.18,3,4.14,4.31,4.14,7.86,8.25,7.86,7.84,7.95,7.84,2.36,2.35,2.36,9,1,"Onder 21","2001-03"
"11",1998,174,129.7,88.3,82.7,NA,24,24,18,66,61,62,123,NA,33,33,50,48,98,1.76,1.78,1.76,2.92,2.95,2.92,3.96,4,3.96,7.71,7.64,7.64,7.71,7.65,7.65,2.53,2.28,2.53,9,1,"Onder 21","2001-03"
"12",1873,184.8,137.7,95.6,70.1,NA,24,24,24,72,58,61,119,38,40,78,42,48,90,1.78,1.86,1.78,3.02,3.06,3.02,4.18,4.22,4.18,7.94,7.84,7.84,7.65,7.56,7.56,2.51,2.62,2.62,9,1,"Onder 21","2001-04"
"13",1996,172.3,128.5,87.1,67.9,NA,24,24,24,72,59,64,123,21,26,47,21,30,51,1.8,1.79,1.79,3.03,3.02,3.02,4.19,4.17,4.17,8.17,8.02,8.02,7.92,7.8,7.8,2.57,2.59,2.59,9,1,"Onder 21","2001-04"
"14",352,181.2,139.7,94.7,70.7,NA,18,21,8,47,58,62,120,35,35,70,40,42,82,1.73,1.74,1.73,2.92,2.97,2.92,4.08,4.09,4.08,7.76,7.69,7.69,8.26,8.05,8.05,2.65,2.65,2.65,9,1,"Onder 21","2001-05"
"15",1732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2001-05"
"16",1733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2001-05"
"17",1734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2001-05"
"18",1995,180.5,132.9,91.5,73.4,NA,24,18,18,60,52,55,107,20,24,44,33,33,66,1.77,1.75,1.75,2.98,2.96,2.96,4.09,4.07,4.07,7.71,7.88,7.71,8.02,7.62,7.62,2.34,2.46,2.46,9,1,"Onder 21","2001-05"
"19",1872,191,142.5,100.4,70.9,NA,19,19,15,53,50,61,111,34,44,78,31,34,65,1.71,1.75,1.71,2.96,2.93,2.93,4.11,4.06,4.06,7.45,7.51,7.45,7.51,7.63,7.51,2.52,2.61,2.61,9,1,"Onder 21","2001-06"
"20",1994,182,128.8,87.4,76.1,NA,23,21,15,59,59,64,123,32,36,68,58,62,120,1.75,1.79,1.75,2.93,2.97,2.93,4.03,4.07,4.03,7.92,7.99,7.92,7.89,7.98,7.89,2.73,2.7,2.73,9,1,"Onder 21","2001-06"
"21",1731,177,134,94.1,67.1,NA,24,24,21,69,72,70,142,32,35,67,36,40,76,1.85,1.9,1.85,3.08,3.14,3.08,4.24,4.26,4.24,8.94,8.82,8.82,8.69,8.88,8.69,2.1,2.1,2.1,9,1,"Onder 21","2001-07"
"22",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2001-08"
"23",1991,186.8,136.6,95.2,88.3,NA,24,22,10,56,53,56,109,29,36,65,40,48,88,1.96,2,1.96,3.18,3.23,3.18,4.38,4.41,4.38,8.21,8.11,8.11,8.2,8.27,8.2,2.4,2.38,2.4,9,1,"Onder 21","2001-10"
"24",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2001-10"
"25",1871,172.6,135.7,93.6,63.9,NA,24,24,22,70,45,50,95,26,28,54,32,31,63,1.68,1.65,1.65,2.93,2.89,2.89,4.06,4.06,4.06,7.5,7.59,7.5,7.65,7.57,7.57,1.69,2.13,2.13,9,1,"Onder 21","2001-11"
"26",350,NA,NA,NA,NA,NA,24,24,14,62,58,60,118,38,40,78,44,49,93,1.81,1.84,1.81,3.03,3.03,3.03,4.12,4.12,4.12,7.56,7.71,7.56,7.73,7.55,7.55,2.2,2.46,2.46,9,1,"Onder 21","2002-01"
"27",351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-01"
"28",1729,194.5,137,97.1,83.6,NA,24,23,17,64,62,68,130,31,37,68,34,30,64,1.8,1.84,1.8,3.04,3.08,3.04,4.23,4.26,4.23,9.51,9.42,9.42,9.24,9.52,9.24,2.03,2.02,2.03,9,1,"Onder 21","2002-01"
"29",1730,174.4,130.5,90.6,71.4,NA,24,24,21,69,74,84,158,25,31,56,34,48,82,2.05,1.74,1.74,3.32,2.98,2.98,4.46,4.12,4.12,10.45,9.17,9.17,8.56,8.62,8.56,2.29,2.38,2.38,9,1,"Onder 21","2002-01"
"30",1870,183.9,137.1,95,71.4,NA,24,24,21,69,59,60,119,NA,NA,NA,30,33,63,1.89,2.11,1.89,3.22,3.4,3.22,4.53,4.68,4.53,8.14,7.44,7.44,7.68,7.64,7.64,2.4,2.51,2.51,9,1,"Onder 21","2002-01"
"31",1990,178.3,133.4,92,73.9,NA,24,22,22,68,58,56,114,35,37,72,48,41,89,1.83,1.85,1.83,3.07,3.11,3.07,4.22,4.25,4.22,7.49,7.38,7.38,7.69,8.52,7.69,2.33,2.32,2.33,9,1,"Onder 21","2002-01"
"32",349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-02"
"33",1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-02"
"34",2316,166,130,87.4,61.5,NA,24,24,17,65,61,65,126,40,45,85,40,45,85,1.83,1.72,1.72,3.14,3.01,3.01,4.31,4.2,4.2,7.56,7.85,7.56,7.95,7.64,7.64,2.2,2.26,2.26,9,1,"Onder 21","2002-02"
"35",2317,178.5,135,92.4,69.2,NA,24,21,15,60,60,61,121,40,16,56,49,54,103,1.87,2.07,1.87,3.27,3.44,3.27,4.47,4.69,4.47,8.11,8.07,8.07,8.02,8.04,8.02,2.18,2.29,2.29,9,1,"Onder 21","2002-02"
"36",347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-03"
"37",348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-03"
"38",1868,189.9,141.7,99.6,82.1,NA,24,23,14,61,60,60,120,36,30,66,32,43,75,1.85,1.91,1.85,3.12,3.18,3.12,4.31,4.4,4.31,7.83,7.53,7.53,8.15,7.87,7.87,2.41,2.38,2.41,9,1,"Onder 21","2002-03"
"39",1869,165.1,130.9,88.8,60.1,NA,24,24,13,61,60,65,125,30,40,70,35,27,62,1.84,1.86,1.84,3.05,3.08,3.05,4.22,4.24,4.22,7.89,7.79,7.79,7.9,7.9,7.9,2.28,2.43,2.43,9,1,"Onder 21","2002-03"
"40",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"Onder 21","2002-03"
