Column1,speler_code,team_naam,meting,Staande.lengte,Zittende.lengte,Beenlengte,Zithoogte,Gewicht,Maturity.Offset,Balance.Beam.6cm,Balance.Beam.4.5cm,Balance.Beam.3cm,Balance.beam.totaal,Zijwaarts.springen.1,Zijwaarts.springen.2,Zijwaarts.springen.totaal,Zijwaarts.verplaatsen.1,Zijwaarts.verplaatsen.2,Zijwaarts.verplaatsen.totaal,Oog.hand.coordinatie.1,Oog.hand.coordinatie.2,Oog.hand.coordinatie.Totaal,X10.meter.sprint.1,X10.meter.sprint.2,X10.meter.sprint.beste,X20.meter.sprint.1,X20.meter.sprint.2,X20.meter.sprint.beste,X30.meter.sprint.1,X30.meter.sprint.2,X30.meter.sprint.beste,CoD.links.1,CoD.links.2,CoD.links.beste,CoD.rechts.1,CoD.rechts.2,CoD.rechts.beste,Vertesprong.1,Vertesprong.2,Vertesprong.beste,club_code,datum,geboortedatum
1,03PMg,Onder 13,1e meting,186.2,137.0,90.7,95.5,71.4,0.66,26.0,15.0,9.0,65.0,56.0,55.0,105.0,22.0,19.0,52.0,20.0,34.0,57.0,1.98,2.22,1.87,3.35,3.94,3.3,5.13,4.83,4.98,9.15,8.9,7.72,9.59,8.67,8.71,1.72,1.91,1.92,1X8m4,2013-10-05,2001-05-14
2,03PMg,Onder 13,2e meting,187.7,138.4,90.8,96.9,76.3,1.15,26.0,19.0,15.0,52.0,54.0,51.0,81.0,23.0,22.0,49.0,31.0,20.0,58.0,2.13,2.09,1.96,3.72,3.52,3.57,5.29,4.7,5.9,9.05,8.91,8.56,8.77,8.38,9.43,1.72,1.46,1.83,1X8m4,2014-04-05,2001-05-14
3,03PMg,Onder 14,1e meting,188.6,139.4,90.7,97.9,77.6,1.55,21.0,7.0,23.0,67.0,45.0,60.0,102.0,31.0,27.0,74.0,30.0,43.0,76.0,2.0,1.85,1.91,3.36,4.01,3.57,4.27,5.0,4.61,9.12,8.73,8.25,8.02,7.89,8.86,2.31,2.05,1.47,1X8m4,2014-10-05,2001-05-14
4,03PMg,Onder 14,2e meting,190.1,140.6,91.0,99.1,77.5,1.97,22.0,22.0,17.0,51.0,44.0,52.0,120.0,30.0,28.0,65.0,30.0,33.0,66.0,2.24,2.0,2.13,3.36,3.72,3.45,4.92,5.13,4.64,8.29,8.45,8.38,8.61,8.7,8.8,1.72,1.65,1.87,1X8m4,2015-04-05,2001-05-14
5,03PMg,Onder 15,1e meting,190.7,141.8,90.5,100.3,79.1,2.42,28.0,19.0,10.0,61.0,49.0,62.0,95.0,32.0,39.0,59.0,41.0,26.0,54.0,1.82,1.79,2.02,3.8,3.21,3.19,4.93,4.5,4.49,8.34,8.07,8.27,8.82,7.97,6.44,1.79,2.03,2.26,1X8m4,2015-10-05,2001-05-14
6,03PMg,Onder 15,2e meting,192.0,142.8,90.7,101.3,79.2,2.84,27.0,12.0,18.0,61.0,49.0,63.0,87.0,30.0,36.0,53.0,29.0,26.0,79.0,1.92,1.82,2.08,3.2,3.56,3.17,4.23,4.81,4.19,8.64,7.9,8.71,7.91,8.27,8.02,1.6,1.94,2.15,1X8m4,2016-04-05,2001-05-14
7,03PMg,Onder 16,1e meting,193.1,143.5,91.1,102.0,78.5,3.21,22.0,18.0,16.0,67.0,53.0,58.0,128.0,38.0,33.0,51.0,32.0,25.0,67.0,1.8,2.09,1.98,3.1,3.35,3.22,4.68,4.15,4.55,8.11,8.65,6.07,8.45,8.65,6.88,1.65,2.09,2.09,1X8m4,2016-10-05,2001-05-14
8,03PMg,Onder 16,2e meting,193.6,144.2,90.9,102.7,77.8,3.59,23.0,21.0,22.0,50.0,41.0,47.0,123.0,30.0,38.0,63.0,24.0,23.0,75.0,1.81,1.99,1.86,3.27,3.36,3.13,4.02,4.7,3.87,8.36,8.67,6.01,8.76,7.94,7.24,2.04,1.9,2.15,1X8m4,2017-04-05,2001-05-14
9,03PMg,Onder 17,1e meting,194.5,145.9,90.1,104.4,78.5,4.13,23.0,22.0,20.0,29.0,38.0,46.0,105.0,28.0,32.0,57.0,41.0,43.0,33.0,1.62,1.9,1.86,3.18,3.2,3.09,4.26,4.43,4.05,8.57,7.87,8.51,7.21,8.72,7.9,2.05,2.1,2.18,1X8m4,2017-10-05,2001-05-14
10,03PMg,Onder 17,2e meting,195.3,146.6,90.1,105.1,78.4,4.53,21.0,23.0,21.0,50.0,53.0,53.0,123.0,36.0,29.0,80.0,45.0,38.0,84.0,1.78,1.88,2.03,3.11,3.37,3.24,4.27,4.32,4.25,8.33,7.85,8.52,8.23,8.11,8.64,2.08,2.67,2.15,1X8m4,2018-04-05,2001-05-14
11,0BvNG,Onder 13,1e meting,168.3,126.5,83.3,85.0,45.7,-0.77,18.0,27.0,20.0,47.0,41.0,59.0,64.0,35.0,22.0,52.0,33.0,30.0,70.0,1.97,2.15,2.03,3.41,3.58,3.56,4.97,4.81,4.61,8.34,8.56,9.88,8.45,8.78,8.96,1.5,1.56,1.64,1X8m4,2013-10-05,2001-04-09
12,0BvNG,Onder 13,2e meting,170.0,128.1,83.3,86.6,48.9,-0.31,21.0,22.0,11.0,56.0,50.0,46.0,109.0,30.0,24.0,41.0,29.0,31.0,48.0,2.1,1.98,1.96,3.65,3.64,3.43,4.84,4.65,5.49,8.7,8.34,9.34,8.99,8.74,8.26,1.67,1.87,1.46,1X8m4,2014-04-05,2001-04-09
13,0BvNG,Onder 14,1e meting,171.2,129.2,83.5,87.7,52.7,0.12,22.0,16.0,22.0,45.0,35.0,47.0,97.0,27.0,33.0,55.0,34.0,26.0,73.0,1.88,2.14,1.75,3.33,3.3,3.07,4.82,4.89,4.75,9.15,9.88,8.99,8.09,8.72,8.33,1.85,2.13,1.94,1X8m4,2014-10-05,2001-04-09
14,0BvNG,Onder 14,2e meting,171.9,130.2,83.2,88.7,52.0,0.47,17.0,14.0,8.0,67.0,62.0,51.0,107.0,30.0,30.0,79.0,38.0,55.0,104.0,1.86,1.86,1.97,3.56,3.69,3.35,4.37,4.76,5.12,8.02,8.76,7.9,9.16,8.72,8.05,1.81,1.84,1.69,1X8m4,2015-04-05,2001-04-09
15,0BvNG,Onder 15,1e meting,173.1,131.5,83.2,90.0,53.5,0.91,15.0,26.0,19.0,47.0,57.0,53.0,110.0,31.0,26.0,49.0,33.0,34.0,70.0,2.03,1.81,1.95,3.24,3.44,3.21,4.5,4.84,4.53,8.57,8.77,8.76,8.57,8.5,8.44,2.16,1.83,1.73,1X8m4,2015-10-05,2001-04-09
16,0BvNG,Onder 15,2e meting,173.6,132.1,83.0,90.6,53.0,1.23,18.0,18.0,7.0,46.0,54.0,56.0,117.0,30.0,37.0,53.0,41.0,39.0,51.0,2.0,1.93,2.03,3.48,3.27,3.21,4.66,4.41,4.37,8.59,8.19,7.46,8.34,8.42,8.16,1.97,2.22,1.72,1X8m4,2016-04-05,2001-04-09
17,0BvNG,Onder 16,1e meting,175.1,132.5,84.1,91.0,52.8,1.53,17.0,14.0,8.0,54.0,57.0,48.0,96.0,27.0,32.0,49.0,37.0,41.0,86.0,1.99,1.99,1.76,3.0,3.25,3.08,4.56,4.65,5.17,8.48,8.29,8.84,8.25,7.65,7.78,2.11,2.23,2.27,1X8m4,2016-10-05,2001-04-09
18,0BvNG,Onder 16,2e meting,175.4,134.2,82.7,92.7,53.1,2.03,21.0,24.0,22.0,62.0,57.0,53.0,130.0,22.0,29.0,54.0,32.0,34.0,72.0,1.94,2.02,2.19,3.22,3.1,3.04,4.48,4.56,3.78,8.5,8.19,6.99,8.04,8.04,7.93,2.16,1.92,1.88,1X8m4,2017-04-05,2001-04-09
19,0BvNG,Onder 17,1e meting,176.5,135.1,82.9,93.6,52.2,2.41,19.0,13.0,10.0,75.0,65.0,62.0,106.0,22.0,28.0,59.0,30.0,28.0,74.0,1.95,1.91,1.86,3.09,3.09,3.21,4.49,4.2,4.4,7.31,8.66,8.03,7.45,8.1,8.42,2.2,2.15,2.13,1X8m4,2017-10-05,2001-04-09
20,0BvNG,Onder 17,2e meting,177.6,136.4,82.7,94.9,52.2,2.86,17.0,16.0,20.0,50.0,40.0,54.0,106.0,39.0,35.0,66.0,45.0,46.0,83.0,1.89,2.15,1.78,3.15,3.18,3.12,4.61,4.47,4.27,8.22,6.96,7.99,8.28,8.29,7.98,2.25,2.7,2.28,1X8m4,2018-04-05,2001-04-09
21,0tPTP,Onder 13,1e meting,156.6,119.6,78.5,78.1,45.9,-1.56,19.0,22.0,13.0,51.0,55.0,52.0,79.0,26.0,19.0,72.0,33.0,32.0,47.0,1.94,2.08,1.8,3.75,3.39,3.09,5.47,4.76,5.39,9.1,8.86,9.57,8.3,7.78,8.96,2.04,1.62,1.91,1X8m4,2013-10-05,2001-05-30
22,0tPTP,Onder 13,2e meting,158.4,121.2,78.8,79.7,50.8,-1.09,24.0,24.0,5.0,46.0,46.0,58.0,94.0,26.0,25.0,87.0,24.0,30.0,42.0,2.31,2.33,1.92,3.6,3.65,3.5,5.12,5.1,5.0,8.9,8.8,8.58,9.61,9.61,7.81,1.67,1.71,1.63,1X8m4,2014-04-05,2001-05-30
23,0tPTP,Onder 14,1e meting,159.5,122.1,78.9,80.6,52.4,-0.75,17.0,24.0,22.0,46.0,48.0,54.0,102.0,30.0,32.0,53.0,26.0,36.0,46.0,1.93,1.96,1.83,3.55,3.23,3.29,5.11,4.45,5.43,9.22,8.93,8.77,8.52,8.81,8.74,1.83,1.47,2.03,1X8m4,2014-10-05,2001-05-30
